review_no,sentiment,score,author,date,contents,pos_words,neg_words,pos_count,neg_count,like_count,product_name
137848830,긍정,2,전**,2026-09-15,"매년 명절을 앞두고 구입하는 모듬전으로 구성 좋고, 맛이 좋습니다. 부침전을 좋아해 평소에도 즐겨 먹으려고 이 시기만을 기다려 넉넉히 구입하여 냉동실에 쟁여 놓고 있습니다.","넉넉, 좋아",,2,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
137804259,긍정,1,김**,2026-09-14,급할때 반찬이나 안주로 괜찮아요,괜찮,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
133184180,긍정,3,김**,2026-05-02,제수용으로 구입했습니다. 필요한 만큼만 구입할 수 있어서 좋았어요. 맛도 꽤 좋아서 재구매 의향 있습니다.,"재구매, 좋아, 좋았",,3,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
132961385,긍정,2,조**,2026-04-24,맛있고 편했어요 추천합니다,"맛있, 추천",,2,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
132618101,긍정,2,김**,2026-04-12,"네가지 전이 들어있어 골고루 맛볼수 있어서 좋았어요 
다른 냉동식품과 달리 감칠맛이 있어요
다음엔 다른 전도 먹어 보고 싶네요","감칠맛, 좋았",,2,0,1,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
132467275,긍정,1,김**,2026-04-08,제사때 급하게주문 좋아요,좋아,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131994551,부정,-1,B*,2026-03-22,"생선은 냄새 남,,",,냄새,0,1,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131965491,긍정,1,이**,2026-03-21,다양하고 맛있어요 특히 깻잎전이 맛있어요,맛있,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131859895,긍정,2,나**,2026-03-17,모듬전 편하게 맛있게 잘 먹었습니다.,"맛있, 편하",,2,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131855370,긍정,2,송**,2026-03-16,편하게 먹기 좋아요 맛도 있구요~,"좋아, 편하",,2,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131845895,긍정,1,한**,2026-03-16,이번 설에도 시켜봤어요.맛있게 잘먹었습니다.,맛있,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131755947,긍정,1,조**,2026-03-13,컬리는 항상 믿고 주문해요 너무 편해요ㅎ,편해,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131741461,긍정,1,김**,2026-03-12,가끔 전이 먹고 싶은데 요렇게 모듬전으로 사니 너무 편하네요^^,편하,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131740504,긍정,1,김*,2026-03-12,모둠전이라 골고루 맛볼수 있어 좋아요,좋아,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131737456,긍정,1,최**,2026-03-12,인기있는 전들만 모아 놓은 거라 가성비 좋고 맛있어요.,맛있,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131735793,긍정,2,강**,2026-03-12,아주 맛있어요. 간도 좋아요.,"맛있, 좋아",,2,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131735458,긍정,1,강**,2026-03-12,설 연휴때 맛있게 잘 먹었어요,맛있,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131731823,긍정,2,손**,2026-03-12,너무 만족해요 ㅠ 정말 맛있게 먹었어요,"만족, 맛있",,2,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131713049,긍정,1,나**,2026-03-11,양도 적당하고 좋아요,좋아,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131710583,긍정,1,유**,2026-03-11,종류가 다양해서 좋아요,좋아,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
131656682,긍정,1,최**,2026-03-09,양도 많고 맛있어요,맛있,,1,0,0,[부침명장] 명품 모둠전 759g (고기완자+오미산적+동태전+깻잎전)
