시장,종목코드,종목명,현재가,전일대비,등락률,거래량,시가총액(억원)
KOSPI,005930,삼성전자,"252,500","4,000",1.61,"11,260,322","14,761,853"
KOSPI,000660,SK하이닉스,"1,749,000","59,000",3.49,"2,736,676","12,776,311"
KOSPI,005935,삼성전자우,"193,700","6,600",3.53,"3,510,884","1,554,193"
KOSPI,402340,SK스퀘어,"1,014,000","14,000",1.40,"331,384","1,337,709"
KOSPI,009150,삼성전기,"1,368,000","51,000",3.87,"421,846","1,021,810"
KOSPI,373220,LG에너지솔루션,"366,500","1,000",0.27,"297,818","857,610"
KOSPI,005380,현대차,"362,000","-5,000",-1.36,"475,295","741,223"
KOSPI,207940,삼성바이오로직스,"1,402,000","-10,000",-0.71,"33,244","648,999"
KOSPI,105560,KB금융,"176,400",600,0.34,"989,845","625,669"
KOSPI,028260,삼성물산,"351,500","4,500",1.30,"233,227","570,019"
KOSPI,032830,삼성생명,"283,500","-2,000",-0.70,"257,158","567,000"
KOSPI,012450,한화에어로스페이스,"1,054,000","-9,000",-0.85,"96,768","543,478"
KOSPI,034020,두산에너빌리티,"84,100","-2,100",-2.44,"2,075,069","538,712"
KOSPI,055550,신한지주,"111,900",-300,-0.27,"779,912","525,315"
KOSPI,000270,기아,"120,800","-1,000",-0.82,"522,062","471,619"
KOSPI,329180,HD현대중공업,"442,500","-11,000",-2.43,"149,738","464,453"
KOSPI,006400,삼성SDI,"542,000","-5,000",-0.91,"299,327","436,774"
KOSPI,068270,셀트리온,"177,200",-300,-0.17,"255,362","412,198"
KOSPI,034730,SK,"550,000",0,0.00,"97,334","398,765"
KOSPI,086790,하나금융지주,"136,900",-700,-0.51,"568,976","370,958"
KOSPI,012330,현대모비스,"383,000","-11,500",-2.92,"294,391","344,013"
KOSPI,066570,LG전자,"199,600","-2,400",-1.19,"378,828","325,118"
KOSPI,035420,NAVER,"201,500","-4,500",-2.18,"516,617","306,470"
KOSPI,010120,LS ELECTRIC,"198,400","3,700",1.90,"395,570","297,600"
KOSPI,000810,삼성화재,"656,000","-5,000",-0.76,"61,680","292,887"
KOSPI,316140,우리금융지주,"36,150",-200,-0.55,"2,175,585","266,348"
KOSPI,298040,효성중공업,"2,781,000","92,000",3.42,"38,742","259,316"
KOSPI,005490,POSCO홀딩스,"326,000","-6,000",-1.81,"154,575","258,327"
KOSPI,267260,HD현대일렉트릭,"706,000","6,000",0.86,"96,146","254,493"
KOSPI,042660,한화오션,"81,700",-700,-0.85,"460,882","250,340"
KOSPI,069500,KODEX 200,"106,365","2,090",2.00,"21,334,746","247,565"
KOSPI,010130,고려아연,"1,135,000","-3,000",-0.26,"10,977","236,908"
KOSPI,009540,HD한국조선해양,"332,500","-6,500",-1.92,"162,851","235,321"
KOSPI,096770,SK이노베이션,"136,700","-5,000",-3.53,"502,221","231,095"
KOSPI,000150,두산,"1,383,000","94,000",7.29,"84,393","223,961"
KOSPI,042700,한미반도체,"224,500","2,000",0.90,"482,542","213,976"
KOSPI,138040,메리츠금융지주,"125,200","-1,300",-1.03,"188,557","209,519"
KOSPI,360750,TIGER 미국S&P500,"25,800",175,0.68,"39,362,953","204,852"
KOSPI,015760,한국전력,"30,950",-400,-1.28,"1,060,552","198,688"
KOSPI,011200,HMM,"20,400",-250,-1.21,"736,566","192,421"
KOSPI,051910,LG화학,"270,000","-1,500",-0.55,"170,062","190,599"
KOSPI,017670,SK텔레콤,"88,000",0,0.00,"580,262","189,015"
KOSPI,010140,삼성중공업,"20,250",-450,-2.17,"2,264,112","178,200"
KOSPI,033780,KT&G,"171,400",600,0.35,"130,024","177,931"
KOSPI,006800,미래에셋증권,"31,850",-200,-0.62,"687,882","172,952"
KOSPI,267250,HD현대,"217,500","-7,500",-3.33,"142,566","171,810"
KOSPI,003550,LG,"112,700","-1,600",-1.40,"320,968","170,393"
KOSPI,018260,삼성에스디에스,"217,000","-3,500",-1.59,"108,596","167,910"
